slug,status,resolution,market_title,market_id,closed,endDate,resolutionSource,notes
mlb-nyy-kc-2025-06-11,RESOLVED,Yankees,Yankees vs. Royals,551185,True,2025-06-18T23:40:00Z,https://www.mlb.com/,
will-elon-tweet-195209-times-july-25august-1,RESOLVED,No,Will Elon tweet 195–209 times July 25–August 1?,568066,True,2025-08-01T16:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-thomas-detry-be-the-first-round-leader-at-the-2025-fedex-st-jude-championship,RESOLVED,No,Will Thomas Detry be the first round leader at the 2025 FedEx St. Jude Championship?,571545,True,2025-08-08T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
bitcoin-up-or-down-october-4-7pm-et,RESOLVED,Up,"Bitcoin Up or Down - October 4, 7PM ET",620344,True,2025-10-05T00:00:00Z,https://www.binance.com/en/trade/BTC_USDT,
nfl-bal-atl-2024-08-17,RESOLVED,Ravens,Ravens vs. Falcons,504910,True,2024-08-17T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
mlb-cle-min-2025-09-20,RESOLVED,Guardians,Guardians vs. Twins,603921,True,2025-09-27T18:10:00Z,https://www.mlb.com/,
dodgers,RESOLVED_UNKNOWN,,dodgers,238647,True,2021-10-04T12:00:00Z,https://www.mlb.com/standings,no payout==1 found
will-george-bush-speak-at-the-dnc,RESOLVED,No,Will George Bush speak at the DNC?,505692,True,2024-08-22T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-penn-state-beat-boise-state-by-12-or-more-points,RESOLVED,Yes,Will Penn State beat Boise State by 12 or more points?,516902,True,2024-12-31T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-the-highest-temperature-in-london-be-between-61-62f-on-september-28,RESOLVED,No,Will the highest temperature in London be between 61-62°F on September 28?,613491,True,2025-09-28T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-trumps-approval-rating-be-44pt544pt9-on-july-11,RESOLVED,Yes,Will Trump’s approval rating be 44.5–44.9% on July 11?,560127,True,2025-07-11T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-cowboys-hire-brian-flores-as-their-next-head-coach,RESOLVED,No,Will the Cowboys hire Brian Flores as their next head coach?,518377,True,2025-03-12T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
sol-multistrike-4h-1757836800-248,RESOLVED,No,Will the price of Solana be above $248 on September 14 at 4AM ET?,597076,True,2025-09-14T08:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
eth-up-or-down-15m-1757745900,RESOLVED,Down,"Ethereum Up or Down - September 13, 2:45AM-3:00AM ET",596069,True,2025-09-13T07:00:00Z,https://data.chain.link/streams/eth-usd,
will-juliana-brizola-win-the-2024-porto-alegre-mayoral-election,RESOLVED,No,Will Juliana Brizola win the 2024 Porto Alegre mayoral election?,508740,True,2024-10-06T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-trump-say-solana-during-the-x-space,RESOLVED,No,"Will Trump say ""Solana"" during the X space?",507036,True,2024-09-16T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
xrp-up-or-down-june-27-10pm-et,RESOLVED,Down,"XRP Up or Down - June 27, 10PM ET",555625,True,2025-06-28T03:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
will-thomas-sorber-be-the-fifth-pick-of-the-2025-nba-draft,RESOLVED,No,Will Thomas Sorber be the fifth pick of the 2025 NBA Draft?,549181,True,2025-06-26T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
atp-halys-vs-cazaux-2025-09-24,RESOLVED,Cazaux,"China Open, Qualification: Quentin Halys vs Arthur Cazaux",609390,True,2025-10-01T02:00:00Z,https://www.atptour.com/en/scores/current,
nba-lal-ind-2025-03-26-spread-away-1pt5,RESOLVED,Lakers,Spread: Pacers (-1.5),531002,True,2025-04-02T23:30:00Z,https://www.nba.com/,
will-twisters-gross-less-than-56m-opening-weekend,RESOLVED,No,Will 'Twisters' gross less than $56m opening weekend?,503480,True,2024-07-22T12:00:00Z,https://www.boxofficemojo.com/title/tt12584954/,
will-the-price-of-bitcoin-be-between-114500-and-115k-on-september-13-at-8am-et,RESOLVED,No,"Will the price of Bitcoin be between $114,500 and $115,000 on September 13 at 8AM ET?",596182,True,2025-09-13T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-curacao-beat-canada,RESOLVED,No,Will Curacao beat Canada?,553390,True,2025-06-22T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-price-of-solana-be-between-180-and-190-on-july-25,RESOLVED,No,Will the price of Solana be between $180 and $190 on July 25?,565047,True,2025-07-25T16:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
cfb-bgsu-lou-2025-09-20-total-51pt5,RESOLVED,Over,Bowling Green vs. Louisville: O/U 51.5,605128,True,2025-09-20T16:00:00Z,https://www.ncaa.com/,
will-adam-hadwin-be-the-first-round-leader-at-the-2025-wyndham-championship,RESOLVED,No,Will Adam Hadwin be the first round leader at the 2025 Wyndham Championship?,568987,True,2025-08-01T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-price-of-bitcoin-be-between-112k-and-114k-on-september-1,RESOLVED,No,Will the price of Bitcoin be between $112K and $114K on September 1?,580992,True,2025-09-01T16:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-opensea-launch-a-token-by-end-of-year,RESOLVED_UNKNOWN,,Will OpenSea launch a token by the end of 2021?,238680,True,2021-12-31T00:00:00Z,,no payout==1 found
nfl-ari-sf-2023-12-17,RESOLVED,49ers,Cardinals vs. 49ers,253421,True,2023-12-17T00:00:00Z,https://www.nfl.com/,
mlb-det-bos-2023-04-06,RESOLVED,Red Sox,MLB: Detroit Tigers vs. Boston Red Sox 2023-04-06,249863,True,2023-04-06T00:00:00Z,https://www.mlb.com/,
atp-cincinnati-dzumhur-vs-alcaraz,RESOLVED,Alcaraz,ATP Cincinnati - Dzumhur vs. Alcaraz,574668,True,2025-08-10T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-elon-tweet-240254-times-july-411,RESOLVED,No,Will Elon tweet 240–254 times July 4–11?,560156,True,2025-07-11T16:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
nba-gsw-mem-2025-04-01-spread-away-0pt5,RESOLVED,Warriors,Spread: Grizzlies (-0.5),532970,True,2025-04-09T00:00:00Z,https://www.nba.com/,
eth-multistrike-4h-1757347200-4450,RESOLVED,No,"Will the price of Ethereum be above $4,450 on September 8 at 12PM ET?",590523,True,2025-09-08T16:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
will-zac-blair-be-the-first-round-leader-at-the-2025-wyndham-championship,RESOLVED,No,Will Zac Blair be the first round leader at the 2025 Wyndham Championship?,569002,True,2025-08-01T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-norwich-win-the-202526-carabao-cup,RESOLVED,No,Will Norwich win the 2025–26 Carabao Cup?,581581,True,2026-03-26T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
btc-up-or-down-15m-1758908700,RESOLVED,Down,"Bitcoin Up or Down - September 26, 1:45PM-2:00PM ET",613789,True,2025-09-26T18:00:00Z,https://data.chain.link/streams/btc-usd,
solana-up-or-down-august-20-11am-et,RESOLVED,Up,"Solana Up or Down - August 20, 11AM ET",577821,True,2025-08-20T16:00:00Z,https://www.binance.com/en/trade/SOL_USDT,
will-dean-phillips-win-the-new-hampshire-democratic-primary,RESOLVED,No,Will Dean Phillips win the New Hampshire Democratic primary?,254043,True,2024-01-21T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-trump-tweet-before-july,RESOLVED,No,Will Trump post 😹🫵 before July?,501898,True,2024-06-30T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
bitcoin-up-or-down-on-march-17,RESOLVED,Up,Bitcoin Up or Down on March 17?,528109,True,2025-03-17T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
xrp-up-or-down-on-june-30,RESOLVED,Up,XRP Up or Down on June 30?,556242,True,2025-06-30T16:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
nba-cha-tor-2025-03-28-moneyline,RESOLVED,Raptors,Hornets vs Raptors,531600,True,2025-04-04T23:30:00Z,https://www.nba.com/,
nba-chi-phi-2025-04-13-total-228pt5,RESOLVED,Under,Over 228.5,536725,True,2025-04-20T17:00:00Z,https://www.nba.com/,
nba-mia-cle-2025-04-20-spread-away-15pt5,RESOLVED,Cavaliers,Spread: Cavaliers (-15.5),538432,True,2025-04-27T23:00:00Z,https://www.nba.com/,
cof-nca-cri-2025-09-05-cri,RESOLVED,No,Will Costa Rica win on 2025-09-05?,586779,True,2025-09-06T02:00:00Z,fifa.com,
wta-noskova-vs-wang-2025-09-27,RESOLVED,Noskova,China Open: Linda Noskova vs Xiyu Wang,612140,True,2025-10-04T03:00:00Z,https://www.wtatennis.com/scores,
will-rangegoats-be-the-winning-team-at-liv-golf-michigan,RESOLVED,No,Will RangeGoats be the winning team at LIV Golf Michigan?,578386,True,2025-08-25T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
what-will-the-floor-price-of-blitmaps-be-on-september-21-2021,RESOLVED_UNKNOWN,,"What will the ETH floor price of Blitmaps be on September 21, 2021?",238715,True,2021-09-21T00:00:00Z,https://opensea.io/collection/blitmap,no payout==1 found
xrp-multistrike-4h-1758168000-2pt88,RESOLVED,Yes,Will the price of XRP be above $2.88 on September 18 at 12AM ET?,602100,True,2025-09-18T04:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
btc-multistrike-4h-1758211200-116pt5k,RESOLVED,Yes,"Will the price of Bitcoin be above $116,500 on September 18 at 12PM ET?",602655,True,2025-09-18T16:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
will-matt-wallace-be-the-first-round-leader-at-the-2025-genesis-scottish-open,RESOLVED,No,Will Matt Wallace be the first round leader at the 2025 Genesis Scottish Open?,560493,True,2025-07-11T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-price-of-ethereum-be-between-4375-and-4400-on-september-8-at-4am-et,RESOLVED,No,"Will the price of Ethereum be between $4,375 and $4,400 on September 8 at 4AM ET?",590254,True,2025-09-08T08:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
nfl-tb-sea-2025-10-05-total-52pt5,RESOLVED,Over,Buccaneers vs. Seahawks: O/U 52.5,618307,True,2025-10-05T20:05:00Z,https://www.nfl.com/scores,
rams-7pt5-v-bears-spread,RESOLVED_UNKNOWN,,Rams (-7.5) v. Bears Spread,238722,True,2021-09-12T00:00:00Z,https://www.nfl.com/scores/,no payout==1 found
cfb-kent-buf-2024-11-26,RESOLVED,Buffalo,Kent State vs. Buffalo,513765,True,2024-12-04T00:00:00Z,https://www.ncaa.com/,
bitcoin-up-or-down-june-5-2-am-et,RESOLVED,Down,"Bitcoin Up or Down - June 5, 2 AM ET",549426,True,2025-06-05T06:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
nhl-nj-min-2023-03-21,RESOLVED,Wild,NHL: New Jersey Devils vs. Minnesota Wild 2023-03-21,249422,True,2023-03-21T00:00:00Z,https://www.nhl.com/,
will-the-price-of-solana-be-between-200-and-210-on-august-29,RESOLVED,Yes,Will the price of Solana be between $200 and $210 on August 29?,579999,True,2025-08-29T16:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-russia-capture-novopavlivka-by-august-31,RESOLVED,No,Will Russia capture Novopavlivka by August 31?,566612,True,2025-08-31T23:55:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-nneka-ogwumike-lead-the-wnba-in-points-per-game-this-season-144,RESOLVED,No,Will Nneka Ogwumike lead the WNBA in points per game this season?,559596,True,2025-09-15T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-john-parry-be-the-first-round-leader-at-the-2025-open-championship,RESOLVED,No,Will John Parry be the first round leader at the 2025 Open Championship?,563042,True,2025-07-18T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-match-be-a-draw-denmark-slovenia,RESOLVED,Yes,Will the match be a draw?,502849,True,2024-06-25T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
nfl-ne-phi-2024-08-15,RESOLVED,Eagles,Patriots vs. Eagles,504908,True,2024-08-15T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
nba-hou-mia-2025-03-21-total-213pt5,RESOLVED,Under,Over vs Under Line: 213.5,529355,True,2025-03-29T00:00:00Z,https://www.nba.com/,
btc-multistrike-4h-1758672000-113k,RESOLVED,No,"Will the price of Bitcoin be above $113,000 on September 23 at 8PM ET?",610022,True,2025-09-24T00:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
btc-multistrike-4h-1758052800-117k,RESOLVED,No,"Will the price of Bitcoin be above $117,000 on September 16 at 4PM ET?",600306,True,2025-09-16T20:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
will-alex-noren-be-the-first-round-leader-at-the-2025-wyndham-championship,RESOLVED,No,Will Alex Noren be the first round leader at the 2025 Wyndham Championship?,568921,True,2025-08-01T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-sam-burns-win-the-2025-bmw-championship,RESOLVED,No,Will Sam Burns win the 2025 BMW Championship?,574736,True,2025-08-18T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-browns-draft-another-player,RESOLVED,No,Will the Browns draft another player?,517713,True,2025-04-24T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
what-will-the-margin-be-in-newsoms-recall-election-1,RESOLVED_UNKNOWN,,What will the margin be in Newsom’s recall election?,238738,True,,https://www.sos.ca.gov/elections/,no payout==1 found
cbb-dep-crei-2025-02-26,RESOLVED,Creighton,DePaul vs. Creighton,524818,True,2025-03-06T02:00:00Z,https://www.ncaa.com/,
cof-cri-hai-2025-09-09-draw,RESOLVED,Yes,Will Costa Rica vs. Haiti end in a draw?,586796,True,2025-09-10T02:00:00Z,fifa.com,
btc-up-or-down-15m-1758659400,RESOLVED,Up,"Bitcoin Up or Down - September 23, 4:30PM-4:45PM ET",610006,True,2025-09-23T20:45:00Z,https://data.chain.link/streams/btc-usd,
btc-up-or-down-15m-1759739400,RESOLVED,Down,"Bitcoin Up or Down - October 6, 4:30AM-4:45AM ET",623088,True,2025-10-06T08:45:00Z,https://data.chain.link/streams/btc-usd,
will-weekly-jobless-claims-exceed-310k-for-the-week-ending-on-september-11,RESOLVED_UNKNOWN,,Will weekly jobless claims exceed 310K for the week ending on September 11?,238746,True,2021-09-16T00:00:00Z,https://www.dol.gov/ui/data.pdf & https://oui.doleta.gov/unemploy/claims_arch.asp,no payout==1 found
bitcoin-up-or-down-june-8-6-pm-et,RESOLVED,Down,"Bitcoin Up or Down - June 8, 6 PM ET",550314,True,2025-06-08T23:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
eth-up-or-down-15m-1759484700,RESOLVED,Down,"Ethereum Up or Down - October 3, 5:45AM-6:00AM ET",620485,True,2025-10-03T10:00:00Z,https://data.chain.link/streams/eth-usd,
nba-det-bkn-2024-11-03,RESOLVED,Pistons,Pistons vs. Nets,511604,True,2024-11-03T20:30:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
bitcoin-up-or-down-june-19-11pm-et,RESOLVED,Down,"Bitcoin Up or Down - June 19, 11PM ET",553180,True,2025-06-20T04:00:00Z,https://www.binance.com/en/trade/BTC_USDT,
will-louisville-win-the-south-region-of-the-2025-ncaa-tournament,RESOLVED,No,Will Louisville win the South region of the 2025 NCAA Tournament?,528519,True,2025-03-31T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
mlb-hou-oak-2023-05-20,RESOLVED,Astros,MLB: Houston Astros vs. Oakland Athletics 2023-05-20,251073,True,2023-05-20T00:00:00Z,https://www.mlb.com/,
ethereum-up-or-down-august-19-10pm-et,RESOLVED,Up,"Ethereum Up or Down - August 19, 10PM ET",576554,True,2025-08-20T03:00:00Z,https://www.binance.com/en/trade/ETH_USDT,
will-will-gordon-be-the-first-round-leader-at-the-2025-wyndham-championship,RESOLVED,No,Will Will Gordon be the first round leader at the 2025 Wyndham Championship?,568973,True,2025-08-01T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
ethereum-up-or-down-june-14-7-pm-et,RESOLVED,Up,"Ethereum Up or Down - June 14, 7 PM ET",551849,True,2025-06-15T00:00:00Z,https://www.binance.com/en/trade/ETH_USDT,
xrp-multistrike-4h-1756540800-2pt7,RESOLVED,Yes,Will the price of XRP be above $2.70 on August 30 at 4AM ET?,583822,True,2025-08-30T08:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-the-price-of-xrp-be-between-3pt09-and-3pt12-on-september-18-at-4pm-et,RESOLVED,Yes,Will the price of XRP be between $3.09 and $3.12 on September 18 at 4PM ET?,602858,True,2025-09-18T20:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-highest-temperature-in-nyc-be-61f-or-below-on-may-1,RESOLVED,No,Will the highest temperature in NYC be 61°F or below on May 1?,540075,True,2025-05-01T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
mlb-stl-nym-2025-04-17,RESOLVED,New York Mets,St. Louis Cardinals vs. New York Mets,537553,True,2025-04-24T23:10:00Z,https://www.mlb.com/,
will-lessons-in-chemistry-win-the-emmy-for-outstanding-limited-series,RESOLVED,No,Will Lessons In Chemistry win the Emmy for Outstanding Limited Series?,507088,True,2024-09-15T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
eth-multistrike-4h-1756900800-4225,RESOLVED,Yes,"Will the price of Ethereum be above $4,225 on September 3 at 8AM ET?",586874,True,2025-09-03T12:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-donald-trump-say-ukraine-during-his-uniondale-rally,RESOLVED,Yes,"Will Donald Trump say ""Ukraine"" during his Uniondale rally?",507209,True,2024-09-18T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-argentina-beat-colombia-181,RESOLVED,No,Will Argentina beat Colombia?,551263,True,2025-06-11T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
xrp-up-or-down-august-21-6am-et,RESOLVED,Up,"XRP Up or Down - August 21, 6AM ET",578320,True,2025-08-21T11:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
atp-atmane-vs-zhang-2025-09-25,RESOLVED,Atmane,China Open: Terence Atmane vs Zhizhen Zhang,611278,True,2025-10-02T06:30:00Z,https://www.atptour.com/en/scores/current,
will-the-high-in-washington-dc-be-30f-or-higher-on-january-20,RESOLVED,No,Will the high in Washington DC be 30°F or higher on January 20?,519105,True,2025-01-20T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
cs2-skinrave-take-flyte-2025-10-07,RESOLVED,SkinRave,Counter-Strike: SkinRave vs Take Flyte (BO3),623164,True,2025-10-07T04:00:00Z,https://liquipedia.net/counterstrike/Main_Page,
uefa-europa-league-athletic-club-vs-manchester-united-to-advance,RESOLVED,Manchester United,UEFA Europa League: Athletic Club vs. Manchester United (To Advance),539588,True,2025-05-09T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-the-next-prime-minister-of-romania-be-crin-antonescu,RESOLVED,No,Will the next Prime Minister of Romania be Crin Antonescu?,547468,True,2025-12-31T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
joshua-buatsi-vs-callum-smith,RESOLVED,Smith,Joshua Buatsi vs. Callum Smith,524097,True,2025-02-22T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
ethereum-up-or-down-august-29-11am-et,RESOLVED,Up,"Ethereum Up or Down - August 29, 11AM ET",582002,True,2025-08-29T16:00:00Z,https://www.binance.com/en/trade/ETH_USDT,
xrp-multistrike-4h-1758643200-2pt91,RESOLVED,No,Will the price of XRP be above $2.91 on September 23 at 12PM ET?,609466,True,2025-09-23T16:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
israel-ground-offensive-in-rafah-between-april-13-19,RESOLVED,No,Israel ground offensive in Rafah between April 13-19?,500805,True,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-highest-temperature-in-new-york-city-be-between-83-84f-on-july-7,RESOLVED,No,Will the highest temperature in New York City be between 83-84°F on July 7?,559886,True,2025-07-07T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
xrp-multistrike-4h-1756785600-2pt67,RESOLVED,Yes,Will the price of XRP be above $2.67 on September 2 at 12AM ET?,585571,True,2025-09-02T04:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
1100-measles-cases-in-us-before-june,RESOLVED,No,"1,100+ Measles cases in U.S. before June?",546809,True,2025-05-31T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
in-game-trading-will-the-49ers-beat-the-packers-by-more-than-3pt5-points-in-their-week-three-matchup,RESOLVED_UNKNOWN,,(In-Game Trading) Will the 49ers beat the Packers by more than 3.5 points in their week three matchup?,238885,True,2021-09-26T00:00:00Z,https://www.nfl.com/scores/,no payout==1 found
no-change-in-fed-interest-rates-after-2024-november-meeting,RESOLVED,No,No change in Fed interest rates after 2024 November meeting?,504493,True,2024-11-07T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-saints-draft-a-qb-in-the-first-round-of-the-2025-nfl-draft,RESOLVED,No,Will the Saints draft a QB in the first round of the 2025 NFL Draft?,517576,True,2025-04-24T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
eth-multistrike-4h-1756872000-4450,RESOLVED,No,"Will the price of Ethereum be above $4,450 on September 3 at 12AM ET?",586198,True,2025-09-03T04:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-australia-win-the-2023-womens-world-cup,RESOLVED,No,Will Australia win the 2023 Women's World Cup?,251877,True,2023-08-19T00:00:00Z,https://www.fifa.com/fifaplus/en/tournaments/womens/womensworldcup/australia-new-zealand2023/scores-fixtures,
will-justin-thomas-win-the-2025-open-championship,RESOLVED,No,Will Justin Thomas win The 2025 Open Championship?,525653,True,2025-12-31T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
cbb-unm-boise-2025-02-19,RESOLVED,Boise State,New Mexico vs. Boise State,523793,True,2025-02-27T03:00:00Z,https://www.ncaa.com/,
solana-above-210-on-august-29,RESOLVED,No,Solana above $210 on August 29?,579962,True,2025-08-29T16:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-the-price-of-ethereum-be-between-4575-and-4600-on-september-12-at-4am-et,RESOLVED,No,"Will the price of Ethereum be between $4,575 and $4,600 on September 12 at 4AM ET?",594514,True,2025-09-12T08:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-trump-say-trump-derangement-syndrome-during-michigan-rally-on-nov-4,RESOLVED,No,"Will Trump say ""Trump Derangement Syndrome"" during Michigan rally on Nov 4?",511829,True,2024-11-04T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-the-price-of-xrp-be-between-2pt94-and-2pt97-on-september-12-at-12am-et,RESOLVED,No,Will the price of XRP be between $2.94 and $2.97 on September 12 at 12AM ET?,594420,True,2025-09-12T04:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-price-of-solana-be-between-224-and-226-on-september-10-at-8am-et,RESOLVED,No,Will the price of Solana be between $224 and $226 on September 10 at 8AM ET?,592382,True,2025-09-10T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
bitcoin-up-or-down-august-23-5am-et,RESOLVED,Up,"Bitcoin Up or Down - August 23, 5AM ET",579152,True,2025-08-23T10:00:00Z,https://www.binance.com/en/trade/BTC_USDT,
will-tesla-deliver-300000-325000-vehicles-in-q2,RESOLVED,No,Will Tesla deliver 300000-325000 vehicles in Q2?,555853,True,2025-08-05T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-w7m-esports-win-the-2025-rainbow-6-siege-world-cup,RESOLVED,No,Will w7m Esports win the 2025 Rainbow 6 Siege World Cup?,572867,True,2025-08-09T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-lontravious-win-the-ansem-invitational-trading-competition,RESOLVED,No,Will Lontravious win the Ansem Invitational trading competition?,587467,True,2025-09-16T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-israel-strike-syria-on-sunday-august-31,RESOLVED,No,Will Israel strike Syria on Sunday August 31?,582524,True,2025-09-02T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
ewc-cs2-gamerlegion-vs-the-mongolz,RESOLVED,The MongolZ,EWC Cs2: GamerLegion vs. The MongolZ,577932,True,2025-08-21T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
bitcoin-up-or-down-august-20-3am-et,RESOLVED,Down,"Bitcoin Up or Down - August 20, 3AM ET",577765,True,2025-08-20T08:00:00Z,https://www.binance.com/en/trade/BTC_USDT,
btc-up-or-down-15m-1758782700,RESOLVED,Down,"Bitcoin Up or Down - September 25, 2:45AM-3:00AM ET",611822,True,2025-09-25T07:00:00Z,https://data.chain.link/streams/btc-usd,
will-elon-tweet-100-or-more-times,RESOLVED,No,Will Elon tweet 100 or more times?,501928,True,2024-06-07T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
al-division-series-rangers-vs-orioles-23,RESOLVED,Rangers,AL Division Series: Rangers vs. Orioles,252577,True,2023-10-12T00:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
nba-tor-dal-2025-04-11-total-224pt5,RESOLVED,Over,Over 224.5,536090,True,2025-04-19T00:30:00Z,https://www.nba.com/,
will-terry-mcaulifee-win-the-general-election-for-governor-of-virginia-in-2021,RESOLVED_UNKNOWN,,Will Terry McAuliffe win the general election for Governor of Virginia in 2021?,238924,True,2021-11-02T00:00:00Z,https://www.elections.virginia.gov/,no payout==1 found
sol-multistrike-4h-1758758400-206,RESOLVED,Yes,Will the price of Solana be above $206 on September 24 at 8PM ET?,611455,True,2025-09-25T00:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
